DIRECTED
17 245
A B 3294941
A C -5022762
A D 10078118
A E 4895886
A F 7507429
A G 5057025
A H 7529816
A I -1007194
A K 4841953
A L 2465950
A M 3206721
A N -7598776
A O 1556714
A P -4819500
A Q 2410919
B A 10071947
B C 7511251
B D -7591571
B E 2463135
B F -3251915
B G 3231860
B H 1556469
B I 5014849
B J -7547976
B K 5042139
B L 5040053
B M 2480869
B O 10057832
B P 1026273
B Q 5099417
C A 1597038
C B 1081496
C D 2401900
C E 5040092
C F -10003081
C G 5097094
C H 3271720
C I -4881763
C L 2449462
C M 1022424
C N 1026405
C P 4861043
C Q 1051040
D A 4814241
D B 1085219
D C 7549999
D E 1563625
D F 1526166
D G 10005310
D H 3243821
D I -10097668
D J 2445553
D K 5082050
D L 4865800
D M 4882123
D N -4803962
D O 4819984
D P -5086205
D Q 2495768
E A 7554800
E B 3255997
E D 4858973
E F 2485620
E G 2418202
E H 4856469
E I 2441714
E J 1524234
E K 5095399
E L 1054369
E M 7558165
E N 4824732
E O 1524315
E P 1079477
F A 3230366
F B 1010517
F C 10065940
F E 10024214
F G -7562208
F H 2425430
F I 3253654
F J 1054238
F K 3299423
F L 3223309
F M -10090259
F N -5032446
F O -7505582
F P 7551762
F Q 1059293
G A 10032307
G B 7573198
G C 7524984
G D -4852271
G E 4860569
G F -2438690
G H 1060862
G I 10094818
G J 1576835
G K -2454306
G L -5003365
G M -2477473
G N -3211920
G P 4890764
G Q 2412052
H A -1583209
H B 5068757
H C 7549734
H D 7522498
H E 5021349
H G 2493429
H I -1040478
H J -4837951
H K 2417345
H L 3281700
H M 4860215
H N -10071337
H P -1031279
H Q -3259572
I B -7510507
I C 1071841
I D 4806511
I E 2407317
I F 5019154
I G 1043499
I H 1514372
I J 7521246
I K 4859782
I L 5012306
I M 4848409
I N 7599510
I P 7538482
I Q 10016093
J A 4869181
J C 7591303
J D 3214426
J E -1595005
J F -4879902
J G 5068964
J H 5080616
J I -10064653
J K 2492975
J L 4800307
J M 1561033
J N 1580749
J O -7506062
J Q 5073554
K A 3284067
K B 3233447
K C 1539458
K D 5015020
K F 5052010
K G 1025530
K H 5088242
K I -10004760
K J -2420466
K L 10060716
K M 7568398
K N 4872868
K P 1075780
K Q 5008778
L A 2404185
L D -5082218
L E -2424660
L F 1592540
L G 5035685
L H 7565249
L J 3259332
L K 4868925
L M 4814810
L N 5026589
L O -1566421
L P -1065643
L Q 2444679
M A 10043004
M B 2467752
M C 2495070
M D -1050901
M E 1540860
M F 1043784
M G 10013613
M H 4875801
M I 4842158
M J 3237660
M K 4857917
M N 1519671
M O 2415102
M P 1027176
M Q 5035627
N A 2475346
N B 3209437
N C 4870954
N D 10017149
N E -1088638
N G 1050379
N H 1055997
N I 7592463
N J 10041052
N K 5093541
N L -1574521
N M 2491666
N O 10059814
N P -4861775
N Q 3218937
O A 4851490
O B 2442667
O C -10004066
O D -1514896
O E -5060555
O F 2445793
O G 2453274
O H 1572995
O I 1569928
O J -10077502
O L 7581479
O M 3263325
O N 7544758
O P -3257162
O Q 5022786
P A -1515084
P C 10072856
P D -1523191
P E -4809223
P F -1543014
P H 10011966
P I 3276222
P J 1086723
P K -2469732
P L -4880784
P N 10027056
P O 5074847
P Q -4894182
Q A 5076479
Q B -1016818
Q C 4848494
Q D 1092290
Q E 5037089
Q F 1056685
Q G 7593393
Q H -7550112
Q J 7586933
Q K -2418328
Q L -3247323
Q M 7537910
Q N 2401620
Q O 1518973
Q P -10017896
