DIRECTED
18 120
A B -4
A E 15
A F -4
A M 10
B A 5
B C 1
B D 3
B K 2
B L -1
B M -8
B N -10
C D -5
C H -8
C N -1
C Q -4
D B -4
D E -5
D L -3
D N 7
D P -2
E B -4
E D -2
E F 2
E G 3
E H 10
E L -5
E M 10
E P 2
E Q 8
F A 4
F G 2
F H -2
F I -5
F L 2
F M -8
F O 7
G B 7
G D 4
G E -8
G H 2
G L 2
G N -2
G Q 10
G R -5
H C 12
H G -1
H I 7
H K -2
H L 12
I F -4
I H -3
I J 20
I K 8
I O -1
J F -4
J G 10
J K 2
J M -4
J O -8
K D -5
K G -5
K H 2
K L 10
K O -10
K P 12
K Q -3
K R -10
L A -8
L E 7
L M 2
L N -3
L P 4
L R 7
M A -10
M E 15
M F 12
M K 12
M N 8
M O 7
M P -5
M Q 20
M R 1
N D -10
N G 7
N I 12
N K -4
N L 20
N O 5
N Q 4
O B 3
O E 7
O H -8
O I -5
O M 5
O N 20
O P 4
P A -5
P C 10
P D 3
P G -1
P H -2
P I 20
P J -8
P N 7
P O -1
P Q 3
Q B 7
Q C -4
Q D 5
Q F 12
Q G -5
Q I 10
Q K -1
Q M -3
Q O -8
Q P -1
Q R -10
R A 1
R K 12
R P 7
