DIRECTED
18 278
A B -1005896
A C 12
A D 8
A F -4.5
A G 10
A H 1.25
A I 8
A J 2438869
A K 1562986
A L -0.005
A M 10
A N -0.75
A O 0.75
A P 9.25
A Q 7
A R 0.001
B A -1.5
B C 1596537
B D 15
B E 0.001
B G 2.5
B H 5
B I 0.005
B J 2431378
B K 12
B L 3246330
B M 0.025
B N -5
B O -0.015
B P -6.25
B Q 12
B R 0.05
C A -1
C B 0.5
C D 0.75
C E -4
C F 4891467
C G 10026872
C H 3
C I -9.25
C J 10055167
C K 9.25
C L 0.008
C M 1
C N 0.025
C O -0.05
C P -1.5
C Q 4834179
C R 10037867
D A -3
D B -0.012
D C 2423991
D E 2431282
D F -8
D G -0.005
D H 0.015
D I 1045168
D J -5070861
D K 4803366
D L 4.5
D M 2.5
D N 20
D O -0.012
D P -0.005
D Q -0.002
E A -3
E B 3
E C 7
E D 10012221
E F 0.001
E G 4803055
E H 20
E I -9.25
E K 15
E M 1.25
E N 0.001
E O -0.75
E P 2.5
E Q 0.001
F A 0.015
F C 6.25
F D -10058099
F E -0.005
F G -0.75
F H -3
F I -4868952
F K -0.002
F L -10
F N 9.25
F O -0.75
F P 7.5
F Q -2438040
F R 0.25
G A -0.05
G B 1020288
G D -0.012
G E 3
G F 0.75
G H 1036435
G I -0.5
G J -0.05
G K 0.05
G L 0.001
G M 1042001
G N 0.75
G O 1047438
G P 9.25
G Q 3
G R 0.002
H A 1571365
H B 0.015
H C 0.015
H D 0.005
H E 4863656
H G 2.5
H I -1
H J 3273324
H K 8
H L 0.5
H M -1045740
H N 0.015
H O -7.5
H P 0.005
H Q -4
H R 2490283
I B 4827604
I C -1590646
I D -5
I F 12
I G 0.25
I H -8
I J 12
I K 2
I L -5
I M 0.001
I N -1
I O 2403935
I P -3
I Q 0.015
I R 3213089
J A 15
J B 3222614
J C -4
J D 10091605
J E 10023804
J F -0.025
J G -3214890
J H -0.002
J I 15
J K 10092470
J L 0.001
J M 0.05
J N 1.5
J O 0.05
J P 1.5
J Q -1589115
K A 0.005
K B 9.25
K C -4.5
K D -4
K E -7591199
K G -2
K H 5
K I 5078082
K L 0.5
K M 4.5
K N 0.025
K O -9.25
K P -4.5
K R -0.005
L A -4
L B -0.05
L C 2413155
L D -5
L E 9.25
L F 7520119
L G 0.002
L H 4.5
L I -0.05
L K 0.015
L M 8
L N 7
L O 2.5
L P 4.5
L Q -2
L R -0.005
M A 0.75
M B 4.5
M C -9.25
M D -4.5
M E -1034623
M G 7.5
M H 0.012
M I -10
M J -3
M K 0.015
M L 0.025
M N 2.5
M O 2.5
M P 3285045
M Q 0.002
M R 0.002
N B 1004999
N C 9.25
N D 1.5
N E 7.5
N F -0.025
N G -0.002
N H -1
N I 0.05
N J 4857246
N K 10070332
N O 4806330
N P 0.025
N Q -4
N R 0.012
O A 3.75
O C 0.002
O D 0.025
O E -7533033
O F -9.25
O G 1075708
O H -1.25
O I -1.5
O J -7.5
O K 15
O L -5019465
O N 2457167
O P 2.5
O Q 7537723
O R 4853297
P A 1525254
P B 1
P C -0.05
P D -3.75
P E -1
P F 4803919
P G 0.012
P H 12
P I -8
P J 4
P K -0.002
P L -0.002
P M 3274938
P N 15
P O 0.05
P Q 1543260
P R 1.25
Q A 2423057
Q B -4853626
Q C -0.001
Q D 0.002
Q E -4.5
Q F 4847678
Q I 2.5
Q J -8
Q K 1
Q L 0.025
Q M 0.002
Q N 3.75
Q O 1.5
Q R 1
R A 0.008
R B 9.25
R C 0.25
R D 12
R E 3.75
R F 0.5
R G 0.002
R H -7.5
R I 0.05
R J -2
R L 9.25
R M 7
R N 4875572
R O -4
R P 3277958
R Q 2.5
