DIRECTED
12 50
V1 V11 -6.25
V1 V2 -0.25
V1 V5 -0.25
V1 V7 -0.5
V1 V8 0.25
V10 V11 0.5
V10 V4 4.5
V10 V7 -0.5
V10 V9 1.5
V11 V1 0.75
V11 V10 -9.25
V11 V12 0.25
V11 V6 -3.75
V12 V1 -0.5
V12 V5 6.25
V2 V10 -7.5
V2 V3 0.75
V2 V8 -0.5
V2 V9 7.5
V3 V10 1.5
V3 V11 0.5
V3 V12 -1.25
V3 V2 1.25
V3 V4 6.25
V3 V7 -2.5
V4 V10 3.75
V4 V11 0.75
V4 V3 6.25
V4 V5 -1.25
V5 V11 4.5
V5 V4 1.25
V5 V6 -0.25
V5 V8 0.5
V5 V9 -7.5
V6 V11 4.5
V6 V2 -0.5
V6 V7 -0.5
V6 V8 0.5
V7 V10 9.25
V7 V3 4.5
V7 V5 1.5
V7 V8 0.25
V7 V9 0.75
V8 V6 1.5
V8 V7 9.25
V8 V9 -3.75
V9 V10 0.5
V9 V2 0.25
V9 V4 -0.75
V9 V8 9.25
