DIRECTED
15 190
A B 7
A C 7
A D 15
A E 3
A F -8
A G -2
A H 12
A I 10
A J -10
A K -1
A L 15
A M 3
A N -1
A O -8
B A 15
B C 15
B D 1
B E -2
B F -8
B G 5
B I 1
B K -10
B L -2
B M -5
B N 2
B O 7
C A 5
C B 7
C D 7
C E -1
C F 15
C G -10
C H -5
C I -5
C J 20
C K 3
C L 20
C M 5
C N 5
C O 2
D B 1
D C -1
D E 10
D F 7
D G -10
D H 2
D I -2
D J 8
D K 15
D L -4
D M 20
D N -5
D O 15
E A 3
E B 4
E C -4
E D 15
E F 2
E G 20
E I 2
E K 10
E L 7
E M 12
E N 1
E O 4
F A 10
F B 10
F C -10
F D 12
F E -4
F G 2
F I -5
F J 7
F K 1
F L 1
F M 4
F N 8
F O 5
G A 15
G B 20
G C -10
G E 2
G H 1
G I 3
G J -5
G L 7
G N 4
G O -5
H A 20
H B -2
H C 12
H D 4
H E 5
H F -1
H G 2
H I -2
H J -1
H K 12
H L -1
H M 1
H N 1
H O 2
I B -1
I C 1
I D -1
I E 1
I F 5
I G -3
I H -4
I J -4
I K -5
I L 12
I M -10
I N 20
I O -8
J A 12
J B 5
J C 4
J D 12
J E 2
J F 12
J G -2
J H 15
J I 2
J K 7
J L 1
J N -3
J O -8
K A 15
K B 8
K C 12
K D 20
K E -8
K F 15
K G 5
K H 7
K J -2
K L 10
K M -4
K N 15
K O 10
L B 4
L C -10
L D -10
L E -1
L F 7
L G -4
L H 4
L I 5
L J 2
L K -2
L M 20
L N 2
L O 1
M A 2
M B 12
M C 4
M D 5
M F -2
M G 12
M H 8
M I -1
M J 8
M K 5
M L 5
M N 7
M O 2
N A 10
N B -2
N C -3
N D 1
N E -4
N F 2
N G 1
N H 20
N I 8
N J 7
N K -1
N M -3
N O -3
O A 12
O B -10
O G -2
O H 8
O I 12
O J -3
O K 15
O L 20
O M 4
O N 12
