DIRECTED
30 45
V1 V2 -10095750
V1 V21 7.5
V10 V11 0.05
V11 V12 -0.008
V12 V13 12
V13 V14 1.25
V14 V15 0.002
V14 V24 -8
V15 V16 0.002
V16 V17 10
V17 V18 -0.05
V17 V19 7545244
V17 V24 7599019
V17 V5 0.015
V18 V19 3255343
V19 V20 -5017518
V2 V3 0.75
V20 V21 1015040
V21 V22 2.5
V21 V30 20
V22 V16 7
V22 V23 -0.75
V23 V24 -2
V23 V6 7.5
V24 V25 1049851
V24 V28 7.5
V25 V23 7
V25 V26 7
V26 V27 0.015
V27 V16 -2439299
V27 V28 2412896
V28 V29 2.5
V28 V6 0.002
V29 V30 3.75
V3 V29 0.001
V3 V4 2429318
V30 V1 -2438626
V4 V5 7508319
V5 V6 4
V6 V7 10
V7 V22 1012007
V7 V8 -6.25
V8 V12 3.75
V8 V9 6.25
V9 V10 3.75
