DIRECTED
20 348
A B 0.002
A C 7544452
A D -4831576
A E 0.015
A F 0.5
A G 2425224
A H 2.5
A I 9.25
A J -1
A K 0.005
A L 1016675
A M -1.25
A N 12
A O -2
A P -9.25
A Q -0.05
A R 5068975
A S 4.5
A T 0.025
B A 3259355
B C 7540207
B D -3.75
B E 5072261
B F -3
B G 3
B H 6.25
B I -1067243
B J -0.025
B K 3.75
B L 0.05
B M 0.025
B N 10034915
B O 5
B P 3
B Q 2
B R 1509451
B T 0.001
C B 0.008
C D 0.012
C E 2401218
C F 0.012
C G -3.75
C H 12
C I 7529843
C J 10067710
C K 4.5
C L 4
C M -7527570
C N -4.5
C O 5
C P 2496805
C Q 12
C R 0.015
C S -3.75
C T 6.25
D A 0.001
D C 2474573
D E 3.75
D F -0.5
D G 1.25
D H 4
D I 9.25
D J -2
D K 20
D L -1003617
D M 3250679
D N 0.008
D O -0.002
D P 5
D Q -2
D T -0.025
E A 1570413
E C -4.5
E D 7
E F 2440700
E G 9.25
E H 4865960
E I 1.5
E J -3
E K 0.5
E L -5060419
E M 7.5
E O 3
E P -2.5
E Q 0.025
E R 1.25
E S 4.5
E T -1591672
F A 1
F B 4887480
F C -1
F D -3.75
F E 5
F G -4
F I -0.025
F J 4866430
F K 10
F L -5
F M 3.75
F O 1.25
F P -10
F Q 0.002
F R -0.05
F S 0.5
F T 10061807
G A 0.005
G B -4
G C 4870178
G D 0.75
G E 2
G F 10023422
G H 1058041
G I 15
G J 7
G K 0.05
G L -8
G M 1.25
G N 0.008
G P -10
G Q 0.25
G R 0.008
G S 1594997
G T -1067274
H A 4
H B 0.008
H C 3.75
H D 3246837
H E 0.005
H F 9.25
H G 7
H I 10008752
H J 0.015
H K -1
H L -1.5
H M -0.5
H N 4878725
H O 0.025
H P 0.005
H Q 0.5
H R 10
H S -6.25
H T 1002880
I A 3
I C 7581333
I E -8
I F -5038977
I G -2426889
I H 1
I J 2.5
I K 0.015
I L 9.25
I N 1
I O 0.015
I P 1090192
I Q 7524157
I R 9.25
I S 12
J A -1
J B -3
J C 2422864
J D 3255968
J E 1.5
J F -3223225
J G 4875652
J H 9.25
J K 0.05
J M -0.025
J N -10055503
J O 0.75
J P 7
J Q 0.5
J R 2449966
J S 1.5
J T -0.025
K A 4
K B 10020380
K C 1065727
K D -0.05
K E -3.75
K F -0.025
K G -0.002
K H -4
K I 7.5
K J 7598610
K L 0.05
K N 7
K O 1.25
K P 0.25
K R -3
K S 0.05
K T 0.008
L A -4
L B 7
L C 7.5
L D 7556050
L E -0.012
L F 0.025
L G 5
L H 4898179
L I 1.5
L J 10012797
L K 8
L M 9.25
L N 0.75
L P 0.005
L Q 10065978
L R 10
L S 2407830
L T 3253681
M A -9.25
M B -2
M C 3
M D 7
M E 2
M F 4
M G 1
M H -4.5
M I -10
M J 2
M K -8
M L -1
M N 7
M O -0.05
M P 0.025
M Q 0.015
M R -5049702
M S 5
M T 0.002
N A -3.75
N B 1069650
N C 0.008
N E -7.5
N F 6.25
N G 1002279
N H 0.001
N I -1.25
N J -3.75
N K 5
N L -4.5
N M 7
N O 0.008
N P -3
N Q 0.5
N R 0.75
N S 12
N T 3222438
O A -4
O B 0.25
O C 0.025
O E -4887997
O F -3
O G -0.5
O H 0.008
O I -0.025
O J 1.25
O K 0.002
O M -4
O N 4
O P 1516800
O R 0.025
O S 0.001
O T 3.75
P A 0.005
P B 7
P C 20
P D 2.5
P E -0.008
P F -0.75
P G 0.005
P H 0.012
P I 0.05
P K -1.5
P L 0.25
P M 3291903
P O -2
P Q 3.75
P R -1044325
P S 9.25
P T -0.025
Q A 15
Q C 0.012
Q D 0.5
Q E 0.001
Q F 9.25
Q G -10038252
Q H 3298191
Q I 1095252
Q J -3
Q K -3.75
Q L 1046707
Q M 0.75
Q N 15
Q O 0.025
Q P 1.25
Q R 1
Q S 4.5
Q T 7560874
R A -1.5
R B 2.5
R C -4
R D -4
R E -9.25
R F -1035977
R G -2
R H -4.5
R I -1.5
R J 1508422
R K 7551715
R L -0.5
R M -1
R N -2
R P -1041295
R Q -8
R S 3211610
R T 0.001
S A 15
S B 0.015
S D 9.25
S E 4868184
S F 0.05
S G -2.5
S H 0.008
S I 1
S J -1
S K 4817690
S N 5016941
S O -0.5
S P -0.012
S Q -7511012
S R 0.025
S T 1583084
T A 5055109
T C -5049768
T D 1
T E 2
T F 20
T G 20
T H 0.5
T I 5
T J 0.012
T K 4812938
T L 1.25
T M -4
T N -4812622
T O 0.012
T P -8
T R -5023781
T S -0.025
