DIRECTED
19 135
A B 0.025
A E 0.05
A H 0.05
A L -0.05
A N 0.05
A P 0.005
A Q 0.015
B C 0.008
B G 0.005
B I 0.012
B L 0.001
B P 0.025
B R -0.008
C D 0.002
C F 0.001
C G -0.002
C J 0.015
C K 0.015
C L 0.001
C N -0.05
C O 0.05
C Q 0.001
D E -0.001
D J 0.015
D K 0.008
D R 0.012
D S 0.001
E A 0.025
E D 0.025
E F 0.005
E G 0.025
E I 0.001
E O -0.005
F B 0.025
F G 0.005
F I -0.012
F J 0.025
F N 0.005
F O 0.002
G D -0.008
G H -0.05
G I 0.05
G K 0.025
G L 0.025
G M -0.005
H A 0.025
H B 0.001
H G 0.05
H I -0.005
H K 0.002
H M -0.05
H O -0.002
H P 0.012
H Q 0.005
H R -0.008
I A 0.012
I G 0.002
I J -0.002
I K 0.025
I N 0.05
I O 0.015
J B 0.002
J D -0.002
J K 0.005
J L 0.025
J O -0.002
J R 0.012
K A -0.05
K D 0.012
K L 0.005
K M 0.005
K N 0.012
L B 0.025
L C -0.001
L E 0.002
L H -0.005
L I -0.05
L J 0.05
L M -0.015
L R 0.012
L S 0.005
M A 0.001
M F 0.002
M I 0.008
M J -0.008
M K 0.005
M N 0.025
M O 0.002
M Q 0.05
M S -0.05
N A 0.001
N C 0.005
N D -0.05
N E 0.05
N H 0.05
N J 0.008
N K 0.025
N M 0.015
N O -0.002
N P -0.025
N S 0.012
O B -0.05
O C -0.05
O D 0.008
O L -0.001
O M 0.015
O P -0.012
O Q 0.05
O R 0.05
O S -0.05
P C 0.001
P D 0.012
P E 0.05
P G 0.05
P H 0.008
P K 0.05
P M -0.012
P Q 0.025
P R 0.05
Q C 0.008
Q J -0.002
Q N 0.005
Q O 0.008
Q R 0.05
R J -0.025
R L 0.012
R M 0.008
R O 0.001
R S 0.012
S A 0.005
S C 0.001
S E -0.015
S I 0.002
S M 0.002
S N 0.05
