DIRECTED
13 140
A B 10
A C 4
A D 20
A E 12
A F 5
A H 10
A I -4
A J -4
A K 1
A L -10
A M 4
B A 5
B B 4
B C 3
B D 20
B E 15
B F 5
B G -4
B H -8
B I -2
B K 12
B L -3
B M 8
C B -4
C D 2
C E -1
C F -1
C G -4
C H 7
C I -1
C J 10
C L -1
C M 4
D A -4
D C 8
D E -8
D F -4
D G 10
D I 10
D J 15
D K -3
D L 12
D M -10
E A 15
E B -8
E C 20
E D 8
E F 12
E G 15
E H -2
E I -2
E K -3
E L -4
E M 7
F A 4
F B 15
F C 7
F D 8
F E 1
F G 2
F H 7
F I 4
F J 3
F K 10
F L -3
F M -3
G A 8
G B 15
G C 3
G D 20
G E 4
G F 20
G H -1
G I -1
G J -1
G K 3
G L 5
G M -3
H B -2
H C 15
H D 20
H E 4
H F -4
H G 5
H I 20
H J 12
H K 8
H L 20
H M 3
I A 8
I B -10
I D 15
I E -4
I F -10
I H 7
I J -3
I K -8
I L -8
I M -1
J A 2
J B -2
J C 3
J D 2
J E -3
J G -8
J H 3
J I -1
J K 20
J L -8
J M 5
K A 10
K C -4
K D 20
K E 1
K G 20
K H 7
K I 1
K J 15
K L 3
K M -8
L A 7
L B 7
L C 8
L D 4
L E 20
L F -8
L H -10
L I 2
L J -1
L K 10
L M 1
M A 5
M B 20
M C -1
M D -1
M E 3
M F 10
M G -2
M H -5
M I -2
M J -2
