DIRECTED
15 80
A B 0.008
A D 0.025
A G 0.005
A I 0.015
A J 0.005
A L 0.001
A N 0.025
B A 0.012
B C 0.015
B F 0.025
B H 0.005
B K 0.008
B L 0.008
B N 0.005
C A 0.05
C B 0.012
C D 0.012
C G -0.008
D A 0.015
D B 0.005
D E 0.002
D F 0.002
D I -0.015
D M 0.05
E A 0.012
E B 0.015
E C 0.025
E F 0.001
E I 0.008
E O 0.025
F B 0.015
F G -0.015
F J -0.05
F L 0.015
F O 0.05
G C 0.005
G E 0.012
G H 0.008
G I 0.002
H A 0.001
H G 0.025
H I 0.001
H K 0.05
H M -0.015
H O 0.008
I A -0.005
I E -0.002
I G 0.015
I H 0.008
I J -0.005
I K 0.005
I N -0.005
J A 0.015
J E -0.008
J K 0.008
J N 0.012
K B 0.008
K G 0.008
K H -0.025
K L 0.05
K O 0.001
L E 0.002
L M 0.012
L O -0.025
M E 0.015
M F -0.012
M J -0.008
M K 0.015
M N -0.05
N C 0.001
N D 0.05
N E 0.008
N G 0.012
N O 0.005
O A 0.005
O D 0.002
O E 0.025
O F -0.002
O G -0.05
O H 0.008
