DIRECTED
28 42
V1 V2 1519674
V1 V3 4889962
V10 V11 7597145
V11 V12 1549715
V12 V13 10085665
V13 V14 -3207453
V13 V23 1550913
V14 V15 -1001516
V15 V16 -1044214
V15 V28 1049448
V16 V17 5030731
V17 V18 1529812
V18 V19 -1023879
V19 V20 -10046838
V2 V3 4852850
V20 V21 2432889
V21 V22 3201534
V22 V23 3254763
V23 V24 5041833
V24 V17 -3284710
V24 V25 3297154
V24 V27 1040546
V25 V16 -7568505
V25 V26 -5032210
V26 V27 1061049
V26 V7 2425084
V27 V28 -3280966
V27 V9 5053120
V28 V1 4872711
V28 V14 2474008
V28 V2 5008895
V3 V13 10004590
V3 V4 -10086445
V4 V1 1516072
V4 V12 10091253
V4 V5 10062181
V5 V6 3267352
V6 V7 -1567790
V7 V8 -2428369
V8 V12 1045205
V8 V9 -3228359
V9 V10 10075741
