DIRECTED
100 150
V1 V15 20
V1 V2 -5092112
V1 V20 5080569
V10 V11 0.002
V100 V1 0.05
V11 V12 0.015
V12 V13 9.25
V13 V14 -4
V13 V5 4893189
V13 V84 4
V14 V15 -4.5
V15 V16 3
V15 V41 -5023878
V15 V54 4
V16 V17 -8
V17 V18 0.008
V17 V65 0.012
V18 V19 0.005
V19 V20 5051357
V2 V3 0.015
V20 V21 9.25
V21 V22 4857725
V21 V96 0.008
V22 V23 3
V23 V24 -1
V24 V25 0.025
V24 V7 0.012
V25 V26 9.25
V25 V77 0.025
V25 V96 0.025
V26 V27 7506712
V27 V28 5
V28 V29 -0.012
V29 V30 1.25
V3 V4 1
V30 V14 3.75
V30 V31 -9.25
V31 V32 -2
V32 V23 1.25
V32 V33 20
V32 V80 0.005
V33 V34 -4
V34 V35 1511388
V35 V36 -3.75
V35 V77 7553654
V35 V95 4.5
V36 V37 1.25
V37 V38 0.008
V38 V39 0.015
V39 V40 -8
V4 V35 7.5
V4 V5 -1559390
V40 V41 1558595
V41 V42 0.001
V41 V7 0.001
V42 V4 0.015
V42 V43 4.5
V43 V44 10
V43 V83 0.25
V44 V45 0.005
V44 V98 0.005
V45 V46 0.002
V46 V47 0.002
V47 V48 7.5
V48 V13 0.05
V48 V49 -0.008
V49 V50 0.012
V5 V6 3
V50 V51 20
V51 V52 -0.025
V52 V53 0.5
V52 V87 0.008
V53 V54 -0.008
V54 V55 0.012
V55 V56 5
V56 V57 12
V57 V15 5
V57 V58 -2
V57 V61 -1051318
V58 V59 -9.25
V59 V23 1
V59 V60 -1
V59 V72 -3.75
V59 V92 -7.5
V59 V99 20
V6 V7 4.5
V6 V76 7
V60 V61 3.75
V61 V23 7
V61 V62 0.025
V62 V63 0.025
V63 V64 4
V63 V73 -8
V64 V65 7
V65 V50 9.25
V65 V66 2.5
V66 V67 -0.002
V67 V68 9.25
V68 V69 4875985
V69 V70 -3
V7 V8 4813460
V70 V71 9.25
V71 V57 1035044
V71 V72 -6.25
V72 V73 -0.005
V73 V74 -10006245
V74 V75 0.05
V75 V13 -10
V75 V76 0.012
V75 V96 1518902
V76 V77 0.75
V77 V49 0.05
V77 V78 -3
V78 V70 -7.5
V78 V79 0.025
V79 V80 2.5
V8 V18 0.05
V8 V3 -0.75
V8 V66 3299577
V8 V9 -0.002
V80 V50 0.025
V80 V81 2420412
V81 V82 -10
V82 V83 0.05
V83 V84 -10
V84 V68 -2
V84 V85 3208580
V85 V16 -7553926
V85 V86 0.5
V86 V63 -0.012
V86 V87 0.75
V87 V88 -0.005
V88 V89 -0.25
V89 V39 7.5
V89 V90 -7.5
V9 V10 -10
V90 V91 -0.001
V91 V92 -2.5
V92 V46 -0.25
V92 V82 -0.05
V92 V93 3.75
V93 V20 9.25
V93 V94 10013138
V94 V88 0.005
V94 V95 0.002
V95 V96 -0.001
V96 V97 0.012
V97 V98 -0.05
V98 V99 -0.001
V99 V100 3241808
