DIRECTED
90 135
V1 V2 2.5
V10 V11 -10098612
V11 V12 -3
V11 V68 1552549
V11 V72 -0.05
V12 V13 0.008
V12 V14 -7.5
V13 V14 0.005
V14 V15 -0.002
V15 V16 0.015
V15 V41 0.002
V16 V17 -5043398
V17 V18 20
V18 V19 1
V18 V74 -0.5
V19 V20 7.5
V2 V3 1530889
V2 V52 20
V20 V21 6.25
V21 V22 0.75
V22 V23 -4861027
V22 V71 4
V23 V24 -2404446
V24 V21 2
V24 V25 3.75
V25 V26 5089712
V26 V27 7.5
V26 V48 -3
V27 V28 4.5
V28 V29 -0.002
V29 V30 7544032
V3 V4 2476880
V30 V31 -0.5
V31 V32 8
V31 V55 -3285960
V32 V33 2.5
V33 V34 3201718
V33 V74 7.5
V34 V35 -0.002
V35 V36 10006156
V36 V37 0.75
V37 V38 10038173
V38 V39 1066982
V39 V40 3
V39 V64 5029551
V4 V5 -2
V40 V41 0.025
V41 V10 0.002
V41 V22 -10097630
V41 V42 20
V42 V40 2449006
V42 V43 3.75
V43 V44 -1
V44 V45 5
V45 V46 -1535852
V45 V85 15
V46 V47 -0.05
V46 V54 1063107
V47 V48 4877504
V48 V3 -0.05
V48 V49 4865033
V49 V50 5
V5 V6 1536487
V50 V51 0.25
V51 V52 1596357
V52 V53 4852054
V53 V12 10060770
V53 V2 7
V53 V54 -2.5
V53 V70 5048847
V54 V55 1594375
V55 V56 -1.25
V55 V7 -0.005
V56 V57 0.015
V57 V49 0.005
V57 V58 5083774
V58 V59 4.5
V59 V33 -5
V59 V60 7593063
V6 V7 -3
V60 V61 -0.001
V61 V62 3.75
V62 V34 7
V62 V63 -7563674
V63 V60 12
V63 V64 15
V64 V13 0.008
V64 V65 4802070
V65 V17 -1
V65 V66 0.008
V66 V67 8
V67 V68 7536242
V68 V69 -5
V69 V46 -1583719
V69 V70 -1570368
V7 V64 -4.5
V7 V8 15
V70 V68 0.002
V70 V71 0.5
V71 V31 -0.001
V71 V72 -3236151
V72 V73 0.002
V73 V74 1505189
V74 V75 -5
V75 V76 -2425867
V76 V77 1.5
V77 V54 10080620
V77 V76 7571319
V77 V78 3214565
V77 V86 -0.025
V78 V22 -3.75
V78 V79 0.002
V78 V8 3213552
V79 V22 0.012
V79 V80 -1.25
V8 V9 0.005
V80 V65 7518439
V80 V81 5002211
V81 V59 1538150
V81 V82 1.25
V82 V83 4868671
V82 V9 -0.005
V83 V84 2.5
V84 V85 0.025
V85 V86 0.012
V86 V49 0.25
V86 V87 1.25
V87 V88 -6.25
V88 V15 3
V88 V89 -1.25
V89 V29 -0.75
V89 V90 1
V9 V10 0.005
V90 V1 2492344
V90 V66 1593712
