DIRECTED
70 105
V1 V2 0.025
V1 V58 -0.25
V10 V11 5081668
V10 V14 8
V10 V64 0.008
V11 V12 -0.025
V12 V10 0.25
V12 V13 -3
V12 V26 20
V13 V14 -0.008
V13 V19 7
V14 V15 4.5
V15 V16 -4878291
V16 V17 15
V16 V43 3267444
V17 V18 -0.005
V17 V29 10008936
V18 V19 4.5
V19 V20 0.012
V2 V3 0.001
V20 V21 -0.005
V20 V45 0.025
V21 V22 -4
V21 V50 0.05
V22 V23 2408387
V23 V24 -8
V23 V5 0.025
V24 V25 5087461
V25 V26 -3252277
V25 V6 7564322
V26 V27 1
V27 V28 0.008
V28 V29 -8
V29 V30 0.05
V3 V4 -1
V30 V31 1542602
V30 V39 -2
V30 V42 7.5
V31 V32 10
V32 V33 -2478132
V33 V34 2
V34 V35 12
V35 V36 -0.05
V35 V51 0.012
V36 V37 20
V37 V38 0.75
V38 V39 0.25
V39 V40 -2465119
V39 V58 7592298
V4 V5 -6.25
V40 V41 1081414
V41 V42 1.25
V42 V43 1064943
V42 V6 1
V43 V44 -0.05
V44 V45 0.5
V45 V46 1.5
V46 V47 1
V47 V34 7
V47 V42 4843706
V47 V48 7517446
V47 V59 -0.05
V48 V49 2496317
V49 V50 2
V5 V6 2
V50 V51 0.25
V51 V52 5
V51 V57 0.005
V52 V40 -0.05
V52 V53 15
V53 V54 0.05
V54 V55 -0.008
V55 V56 15
V55 V67 1.5
V56 V57 -5
V57 V46 7.5
V57 V58 -0.005
V57 V69 0.05
V58 V50 -0.005
V58 V59 -1.5
V59 V60 2414472
V6 V7 0.002
V60 V61 12
V61 V26 1.25
V61 V62 0.25
V62 V39 10
V62 V63 0.012
V62 V68 2
V63 V27 -3277300
V63 V64 -4.5
V63 V65 -3.75
V64 V65 6.25
V65 V66 -2
V66 V67 -4864419
V67 V62 1592317
V67 V68 -0.025
V68 V18 0.005
V68 V69 0.75
V69 V70 -1562142
V7 V68 0.025
V7 V8 -0.05
V70 V1 3
V8 V69 3298611
V8 V9 0.012
V9 V10 -1
