DIRECTED
80 120
V1 V2 0.05
V1 V31 0.5
V10 V11 1566349
V10 V28 7
V10 V9 0.025
V11 V12 0.05
V12 V13 0.002
V12 V31 5003569
V13 V14 1
V13 V23 7.5
V14 V15 2.5
V15 V16 10051639
V16 V17 -1576199
V16 V61 6.25
V16 V79 0.015
V17 V18 -6.25
V17 V25 5
V18 V19 15
V19 V20 -3215048
V19 V75 1
V2 V23 2.5
V2 V3 -3
V20 V21 1
V21 V18 2441747
V21 V22 -0.012
V21 V27 4.5
V21 V42 -0.25
V22 V23 0.002
V23 V24 3
V23 V39 0.025
V23 V40 0.005
V24 V25 2.5
V24 V54 -1537992
V25 V26 7.5
V26 V27 -1.5
V27 V28 3
V27 V63 10049150
V28 V29 2490820
V29 V30 2415278
V3 V4 3201413
V30 V31 -0.005
V31 V32 -1
V32 V33 -0.05
V33 V34 0.05
V34 V35 8
V35 V36 0.012
V36 V37 1555920
V37 V38 4858292
V38 V39 0.025
V39 V40 -0.75
V4 V5 0.001
V40 V41 -5
V41 V42 7
V42 V43 -2
V43 V44 3299659
V44 V45 -4.5
V44 V75 -0.012
V45 V46 0.05
V46 V47 2466473
V46 V8 3203723
V47 V30 -6.25
V47 V48 -2
V47 V50 2
V48 V49 4
V48 V71 -8
V49 V22 -0.75
V49 V44 1.25
V49 V50 0.012
V5 V6 -5
V5 V79 1088612
V50 V2 0.001
V50 V51 -0.012
V50 V64 0.025
V51 V52 4
V52 V53 8
V53 V12 -0.012
V53 V54 2
V54 V55 6.25
V55 V32 20
V55 V56 -1061996
V56 V57 3272041
V56 V74 1.25
V57 V58 -1.5
V58 V47 7577579
V58 V59 -6.25
V59 V60 3281707
V6 V7 20
V60 V61 5014215
V61 V62 1.5
V62 V57 -1087540
V62 V63 0.005
V63 V64 -5051052
V64 V65 -7.5
V64 V76 -0.012
V65 V49 4884272
V65 V66 -4.5
V66 V67 5011087
V67 V66 -0.012
V67 V68 -7.5
V68 V69 0.002
V69 V70 4811183
V7 V58 -0.75
V7 V8 0.008
V70 V19 -0.025
V70 V71 3
V71 V72 7582134
V72 V73 12
V73 V74 4855762
V74 V6 3
V74 V75 5088161
V75 V76 10023575
V76 V77 1013423
V77 V78 -2408480
V78 V79 4842240
V79 V48 0.002
V79 V80 -1040600
V8 V9 -0.015
V80 V1 -0.012
V9 V10 4.5
V9 V69 0.012
