DIRECTED
10 80
A B 0.005
A C -0.012
A D 0.005
A E 0.005
A F 0.008
A H 0.008
A I 0.05
B A 0.015
B C 0.012
B D -0.05
B E 0.002
B F 0.008
B G -0.05
B H -0.005
B I 0.015
B J 0.005
C A 0.002
C B -0.001
C D 0.001
C E 0.008
C F 0.008
C G -0.012
C H 0.001
C I 0.05
C J 0.005
D A 0.008
D B 0.012
D C -0.025
D E -0.015
D G 0.012
D H 0.05
D I 0.025
D J 0.001
E A 0.012
E B -0.002
E C 0.002
E D 0.012
E F 0.012
E G 0.012
E H 0.005
E I -0.001
E J 0.015
F B -0.001
F C 0.012
F D -0.025
F E 0.025
F G 0.008
F H -0.008
F J 0.015
G A 0.005
G B 0.012
G C 0.05
G D 0.012
G E 0.015
G F 0.008
G H 0.008
H A 0.025
H B 0.015
H D -0.012
H E -0.002
H F 0.001
H G 0.05
H I -0.002
I A -0.012
I B 0.001
I C 0.005
I D -0.015
I E 0.05
I F 0.015
I G -0.002
I H 0.015
I J 0.015
J A -0.001
J C 0.012
J D 0.005
J E 0.05
J F -0.005
J G -0.025
J H -0.025
J I 0.025
