UNDIRECTED
72 71
Z1 Z2 1
Z1 Z3 1
Z2 Z4 1
Z2 Z5 1
Z3 Z6 1
Z4 Z7 1
Z5 Z8 1
Z6 Z9 1
Z7 Z10 1
Z8 Z11 1
Z9 Z12 1
Z10 Z13 1
Z11 Z14 1
Z12 Z15 1
Z13 Z16 1
Z14 Z17 1
Z15 Z18 1
Z16 Z19 1
Z17 Z20 1
Z18 Z21 1
Z19 Z22 1
Z20 Z23 1
Z21 Z24 1
Z22 Z25 1
Z23 Z26 1
Z24 Z27 1
Z25 Z28 1
Z26 Z29 1
Z27 Z30 1
Z28 Z31 1
Z29 Z32 1
Z30 Z33 1
Z31 Z34 1
Z32 Z35 1
Z33 Z36 1
Z34 Z37 1
Z35 Z38 1
Z36 Z39 1
Z37 Z40 1
Z38 Z41 1
Z39 Z42 1
Z40 Z43 1
Z41 Z44 1
Z42 Z45 1
Z43 Z46 1
Z44 Z47 1
Z45 Z48 1
Z46 Z49 1
Z47 Z50 1
Z48 Z51 1
Z49 Z52 1
Z50 Z53 1
Z51 Z54 1
Z52 Z55 1
Z53 Z56 1
Z54 Z57 1
Z55 Z58 1
Z56 Z59 1
Z57 Z60 1
Z58 Z61 1
Z59 Z62 1
Z60 Z63 1
Z61 Z64 1
Z62 Z65 1
Z63 Z66 1
Z64 Z67 1
Z65 Z68 1
Z66 Z69 1
Z67 Z70 1
Z68 Z71 1
Z69 Z72 1
