DIRECTED
45 135
N1 N7 7
N1 N18 842
N1 N34 19
N2 N11 651
N2 N24 3
N2 N40 208
N3 N9 777
N3 N15 92
N3 N37 44
N4 N2 63
N4 N20 15
N4 N31 904
N5 N8 530
N5 N22 71
N5 N44 6
N6 N13 109
N6 N17 990
N6 N29 458
N7 N4 8
N7 N26 612
N7 N38 27
N8 N16 724
N8 N33 11
N8 N45 305
N9 N5 860
N9 N21 41
N9 N28 14
N10 N1 7
N10 N14 963
N10 N30 52
N11 N19 679
N11 N25 118
N11 N36 400
N12 N6 33
N12 N27 905
N12 N42 84
N13 N10 741
N13 N18 256
N13 N32 17
N14 N3 92
N14 N23 609
N14 N35 5
N15 N12 444
N15 N20 531
N15 N39 8
N16 N2 76
N16 N29 13
N16 N41 688
N17 N7 24
N17 N24 901
N17 N43 357
N18 N4 10
N18 N15 973
N18 N30 61
N19 N11 47
N19 N22 804
N19 N37 285
N20 N5 9
N20 N16 620
N20 N34 516
N21 N13 38
N21 N28 742
N21 N40 102
N22 N1 67
N22 N31 889
N22 N44 15
N23 N8 6
N23 N19 410
N23 N26 933
N24 N12 58
N24 N17 247
N24 N35 721
N25 N3 91
N25 N29 805
N25 N42 12
N26 N14 44
N26 N20 301
N26 N38 659
N27 N6 23
N27 N33 972
N27 N45 87
N28 N9 564
N28 N18 140
N28 N41 7
N29 N10 55
N29 N25 688
N29 N37 16
N30 N2 31
N30 N21 902
N30 N43 74
N31 N4 847
N31 N15 11
N31 N27 519
N32 N6 25
N32 N24 470
N32 N39 96
N33 N1 713
N33 N22 64
N33 N36 8
N34 N11 22
N34 N28 936
N34 N44 158
N35 N7 901
N35 N16 584
N35 N30 39
N36 N5 217
N36 N23 76
N36 N41 14
N37 N12 603
N37 N18 48
N37 N32 999
N38 N9 13
N38 N15 82
N38 N26 745
N39 N14 5
N39 N31 970
N39 N45 426
N40 N3 109
N40 N17 54
N40 N29 801
N41 N20 18
N41 N25 442
N41 N34 667
N42 N8 72
N42 N19 930
N42 N27 6
N43 N10 318
N43 N21 755
N43 N35 57
N44 N4 584
N44 N24 11
N44 N32 29
N45 N1 203
N45 N13 840
N45 N42 96
